ObservationURI,ObservationName,Label,RelatedSampleURI,OtherID,SampleDepth,MeasurementUnits,SiteLocationURI,SiteLocationName,LocalityTerms,County,State,LatDegreeWGS84,LongDegreeWGS84,SRS,LocationUncertaintyStatement,SampleCollectionDate,SampleMeasurementDate,SampleType,SampleShape,SampleDimensionsHeight,SampleDimensionsWidth,SampleDimensionsLength,SampleDimensionsUnits,SampleDensity,UncertaintyDensity,SampleDensityUnits,Laboratory,MeasurementDevice,MeasurementProcedure,MeasurementPressure,MeasurementPressureUnits,SampleTemperature,SampleTemperatureUnits,MeasurementDuration,MeasurementDirection,MeasurementRun,BulkMixingFormula,SaturationFluid,SaturatedSampleConductivity,DrySampleConductivity,AverageThermalConductivity,UncertaintyTC,CorrectionTC,CorrectionDescription,UnitsTC,SpecificHeat,UncertaintySpecificHeat,SpecificHeatUnits,ThermalDiffusivity,UncertaintyThermalDiffusivity,UnitsThermalDiffusivity,GeologicFormationName,GeologicFormationURI,GeologicFormationType,DatumElevation,Elevation,Permeability,UnitsPermeability,Porosity,Notes,MetadataURI,Source
CB-14 400-404,CB-14,CB-14 400-404,,,400,meters,,,,Itasca,MN,47.82,-94.3,,,,2011,Drill Hole,Cylinder,18.66,2.233,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.79,,,,,,,,,,,,,Unnamed,,Quartz Monzodiorite,,,,,,,,
CC-14 518-519,CC-14,CC-14 518-519,,,518,meters,,,,Todd,MN,45.95,-95.02,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.78,,,,,,,,,,,,,Unnamed,,Biotitic Gneissic Tonalite,,,,,,,,
CC-22 223-224.2,CC-22,CC-22 223-224.2,,,223,meters,,,,Todd,MN,46.22,-95,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.78,,,,,,,,,,,,,Unnamed,,Diorite,,,,,,,,
CC-32 120.5-122.2,CC-32,CC-32 120.5-122.2,,,120.5,meters,,,,Otter Tail,MN,46.37,-95.18,,,,2011,Drill Hole,Cylinder,17.9,2.046,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.45,,,,,,,,,,,,,Unnamed,,Hornblende Diorite,,,,,,,,
CD-17 31-33,CD-17,CD-17 31-33,,,31,meters,,,,St. Louis,MN,47.81,-92.8,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.71,,,,,,,,,,,,,Rice River Pluton,,Hornblende Diorite,,,,,,,,
CD-7 79-81,CD-7,CD-7 79-81,,,79,meters,,,,St. Louis,MN,47.77,-93.02,,,,2011,Drill Hole,Cylinder,16.34,1.031,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.26,,,,,,,,,,,,,Morcom Pluton,,Monzonite,,,,,,,,
CS-1 110-111,CS-1,CS-1 110-111,,,110,meters,,,,Stearns,MN,45.45,-94.5,,,,2011,Drill Hole,Cylinder,18.95,1.175,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.82,,,,,,,,,,,,,Richmond Charnokitic Granite,,Charnokitic Granite (weathered),,,,,,,,
EC-1 158-159.2,EC-1,EC-1 158-159.2,,,158,meters,,,,Benton,MN,45.75,-94.12,,,,2011,Drill Hole,Cylinder,20.6,1.016,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.15,,,,,,,,,,,,,Watab Quartz Diorite,,Biotite Hornblende Diorite,,,,,,,,
EC-13 60-61,EC-13,EC-13 60-61,,,60,meters,,,,Mille Lacs,MN,45.71,-93.65,,,,2011,Drill Hole,Cylinder,19.33,0.835,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.57,,,,,,,,,,,,,Pease Pluton,,Granite,,,,,,,,
EC-2 131.5-132.5,EC-2,EC-2 131.5-132.5,,,131.5,meters,,,,Benton,MN,45.75,-94.12,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.06,,,,,,,,,,,,,Foley Granite,,Porphoryritic Granite,,,,,,,,
